name
General European
General Asian
General Middle Eastern & North African
General African
General North American
General Central  & South America
General Oceanic
french
italian
spanish
greek
german
british
irish
portuguese
belgian
dutch
russian
hungarian
polish
swedish
swiss
austrian
chinese
japanese
korean
thai
vietnamese
indian
pakistani
filipino
indonesian
malaysian
mongolian
sri_lankan
turkish
lebanese
persian
israeli
moroccan
egyptian
tunisian
ethiopian
nigerian
ghanaian
south_african
senegalese
kenyan
mexican
brazilian
argentinian
peruvian
colombian
chilean
cuban
haitian
jamaican
american
canadian
australian
new_zealand
hawaiian
polynesian
other
