rights
view own recipes
view other public recipes
view other private reicepes
publish own recipes
edit/create/delete own recipes
edit/create/delete others recipes
view comments
edite/wright/delete own comments
edite/wright /delete other comments
view mails
make mails to subscribers
make mails to specific accounts
make mails to all
make reports
make bans
change accounts role/website rights
edite/delite accounts
is invulnerable
